date	USD	GBP	CAD
2016-01-05	1.0746	0.73235	1.4976
2016-02-05	1.1202	0.76975	1.5404
2016-03-04	1.097	0.77483	1.4717
2016-04-05	1.1367	0.8016	1.4968
2016-05-05	1.1439	0.7886	1.4665
2016-06-03	1.1154	0.77285	1.4594
2016-07-05	1.1146	0.84997	1.4418
2016-08-05	1.1156	0.8481	1.4529
2016-09-05	1.1156	0.83643	1.4436
2016-10-05	1.1211	0.88155	1.4816
2016-11-04	1.1093	0.88808	1.4901
2016-12-05	1.0702	0.84168	1.424
2017-01-05	1.0501	0.8544	1.3966
2017-02-03	1.0741	0.86013	1.4023
2017-03-03	1.0565	0.86355	1.4161
2017-04-05	1.0678	0.8551	1.4291
2017-05-05	1.0961	0.8471	1.5094
2017-06-05	1.1249	0.8713	1.5174
2017-07-05	1.1329	0.87735	1.4682
2017-08-04	1.1868	0.9028	1.492
2017-09-05	1.189	0.9174	1.4732
2017-10-05	1.1742	0.89153	1.4655
2017-11-03	1.1657	0.88923	1.483
2017-12-05	1.1847	0.88183	1.4966
